,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
101,Malta,MLT,13.0,14.0,15.0,14.0,13.0,14.0,15.0,15.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0
102,Mauritania,MRT,859.0,848.0,843.0,837.0,827.0,824.0,824.0,819.0,820.0,821.0,813.0,805.0,796.0,781.0,764.0,750.0,745.0,744.0,739.0,734.0,723.0,704.0,682.0,655.0,629.0,602.0
103,Mauritius,MUS,81.0,76.0,82.0,74.0,68.0,60.0,50.0,52.0,48.0,43.0,40.0,36.0,35.0,38.0,37.0,39.0,42.0,45.0,46.0,52.0,59.0,51.0,54.0,54.0,54.0,53.0
104,Mexico,MEX,90.0,87.0,87.0,87.0,86.0,85.0,82.0,82.0,83.0,82.0,77.0,69.0,61.0,57.0,54.0,54.0,51.0,50.0,50.0,53.0,45.0,42.0,42.0,41.0,39.0,38.0
105,Micronesia (country),FSM,183.0,179.0,175.0,173.0,169.0,166.0,164.0,161.0,159.0,156.0,153.0,150.0,148.0,143.0,139.0,134.0,130.0,126.0,122.0,118.0,115.0,110.0,107.0,104.0,102.0,100.0
106,Moldova,MDA,51.0,60.0,55.0,55.0,63.0,66.0,61.0,58.0,53.0,52.0,49.0,45.0,43.0,41.0,37.0,39.0,36.0,36.0,35.0,33.0,34.0,25.0,26.0,24.0,24.0,23.0
107,Mongolia,MNG,186.0,193.0,201.0,207.0,208.0,205.0,199.0,192.0,184.0,174.0,161.0,147.0,132.0,117.0,105.0,95.0,86.0,80.0,74.0,68.0,63.0,58.0,53.0,49.0,46.0,44.0
108,Montenegro,MNE,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0
109,Morocco,MAR,317.0,300.0,285.0,273.0,264.0,257.0,249.0,242.0,235.0,228.0,221.0,214.0,207.0,201.0,196.0,190.0,185.0,179.0,172.0,164.0,153.0,144.0,137.0,131.0,126.0,121.0
110,Mozambique,MOZ,1390.0,1320.0,1290.0,1260.0,1210.0,1150.0,1100.0,1050.0,1000.0,956.0,915.0,875.0,840.0,804.0,783.0,762.0,741.0,716.0,682.0,646.0,619.0,596.0,563.0,528.0,506.0,489.0
