Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),Smoking (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Low physical activity (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),High cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths),High body-mass index (obesity) (deaths)
Australia,AUS,2000,0.407941680607,956.590791024,127.823448926,1104.74114649,12139.1092241,804.933639689,62.9591370806,2629.47320273,31.3578245552,4.32223401003,8.94162665133,180.979957228,4262.28220917,3648.86724079,3781.86297933,12070.929995,22401.9300084,9530.54099464,9510.20871592
Australia,AUS,2005,0.439818550501,1268.29032103,178.868576862,1460.65505051,11859.322991,760.714251916,64.5138985761,2380.08011938,35.8677362944,5.32690477867,15.0806084897,182.132595168,4039.13538981,3329.98204053,3588.94556268,11103.4568907,20580.0292957,10170.870775,10332.3021595
Australia,AUS,2006,0.597779205828,1345.31885501,193.679720347,1529.51252544,12048.2003608,757.506566803,63.2938786695,2316.08697762,37.740885441,5.90493090992,17.5061849483,187.128024693,4059.39126925,3319.65786831,3609.07147013,11079.3555631,20629.6216882,10457.0842467,10662.7393431
Australia,AUS,2010,0.907439419238,1669.31689686,264.846714954,2022.97118263,12880.8859788,718.701402832,52.1901421008,2030.78541556,43.2432631025,7.02700670055,25.9094017694,198.729629338,4040.22641797,3184.25661279,3603.47051078,10659.2375228,20342.5153722,11103.7088741,11502.3553899
Australia,AUS,2016,1.39640357906,2071.3400783,385.591209971,2606.17783759,14383.6278138,809.071287332,44.7523633133,2379.62505992,55.1000357498,8.26714779658,38.9115256203,211.550312887,4515.56926187,3501.32202205,3986.36121633,11813.0563173,22981.2853911,12626.9266573,13240.8778355
Austria,AUT,1990,0.14671255199,903.365944852,94.3415904974,4682.86871647,5902.90933461,452.14851537,259.626149782,3313.26163126,7.98815458907,0.627274773419,0.818733310348,161.343549394,3058.91928693,2770.60833705,1770.82488096,8744.39448492,18292.0250561,4810.93994449,5061.90816057
Austria,AUT,1995,0.16088181824,724.504488279,139.569522894,4137.98453135,5720.27569023,444.314637606,181.172077612,3084.11564189,6.57149580901,0.507061779898,0.618123235188,145.051764895,3110.70268934,2780.45038347,1800.64647547,9103.17624807,17939.6065762,5094.46542714,5483.27098906
Austria,AUT,2000,0.193205520857,662.115229681,163.758752929,3597.07353255,5736.14182676,511.665808164,143.021838647,2836.32270049,6.02366337471,0.778020516056,0.848471667614,126.227573168,2971.63679024,2559.3151961,1776.91039906,8655.0259232,16924.3110317,5230.53207089,5696.79567962
Austria,AUT,2005,0.360584494027,752.74240287,210.837182351,3122.24844126,5266.62369687,519.803232433,109.257560633,2550.11148402,6.10461950784,2.06567189686,2.25010446359,130.623266847,2688.40294291,2257.18252935,1607.90277664,7683.19734813,15381.8459113,6018.18959702,6042.56700396
Austria,AUT,2006,0.466004748889,762.4783813,216.841684442,3068.85478358,5159.64002323,500.278981897,102.89519761,2508.56883616,6.17571003683,2.49030786077,2.72729222031,127.923997093,2651.74334289,2220.46802684,1585.96090929,7597.01161148,15282.8711594,6093.11571729,6130.34205326
Austria,AUT,2010,1.94852775049,844.012120493,266.709590046,2975.82121883,5080.36997759,439.317479925,82.5416883814,2444.74467508,6.27331794285,3.58827953872,3.99387908288,118.204159232,2616.38768535,2169.34259169,1514.60522829,7492.28888324,15581.7385632,6370.10051445,6464.82960371
Austria,AUT,2016,2.68811334477,945.428471363,343.06102257,3189.96334535,5689.2887366,450.556311018,65.6319610708,2560.75405316,6.51515459015,3.74567596714,4.29614190655,123.951476293,2794.95531301,2264.58307765,1557.03379974,7926.53947579,17000.567714,6920.37668526,7233.32456881
Azerbaijan,AZE,1990,0.0424007058208,35.1945434586,24.1089925727,29.530079316,1234.53429697,725.437469681,1528.03045915,1626.5574928,8.80375565016,5.43609901876,4.92951922077,30.5033783489,1077.71517377,1400.67384856,1161.18979463,3174.94686985,7193.81048675,1614.79772262,1512.28906477
