Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Smoking (deaths),Secondhand smoke (deaths),Low physical activity (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),High body-mass index (obesity) (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High total cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths)
Ghana,GHA,2010,147.181631332,39.8257800459,620.131706296,4256.79131808,878.711202474,793.753018083,657.531024496,698.014307332,131.799038887,117.938562777,465.866967871,892.74372895,15410.703785,2068.97167112,2546.84183216,1415.3801362,1067.80285574,2583.4238084,1208.14606895
Ghana,GHA,2016,132.155542119,47.1815637312,597.308134295,4468.85856792,839.994622023,680.730432457,535.954991963,652.787379499,124.199215766,117.33556328,441.450575706,855.914015652,10475.370942,2294.85591283,2376.61726146,1966.70204063,1054.96206504,2558.12630246,1310.07803816
Greece,GRC,1990,0.380017926642,21.7040543364,95.0909652719,836.668352375,0.492768870517,0.0522742290443,0.11818871939,1029.90080143,41.439212217,76.9509897734,181.895635827,14.8098049363,71.9811415737,517.275568783,33.2140765771,232.697233903,593.697164484,620.743188173,132.638079008
Greece,GRC,1995,0.336585818745,24.3781049804,209.668354189,877.081706898,0.554966167413,0.0488951401284,0.0732721135013,1203.39891293,43.1242343543,88.3427282553,193.088266843,26.78207223,83.8734394004,618.63182847,19.9671715147,254.557642935,678.532128081,658.673166859,141.154719979
Greece,GRC,2000,0.349865526465,25.030166242,321.859701834,790.60654965,0.589657578668,0.0543092395193,0.0505650650434,1246.43285059,40.4355799228,98.0256760488,187.112492859,59.3497052492,61.1056483,695.887153124,13.3915301906,269.713560772,757.089497202,688.694927849,150.114240543
Greece,GRC,2005,0.352401559589,22.7662947828,359.404666819,727.811017698,0.574400628316,0.0624924673491,0.0427958194565,1213.17790013,37.7588775901,99.4593959606,178.252725499,88.4205105426,56.4388325584,738.544943541,9.16983549083,249.021469211,760.553861749,670.730067698,156.772722522
Greece,GRC,2006,0.361878097465,21.3106752066,356.614714453,706.169675407,0.559720922474,0.0614531606753,0.0400207833696,1211.5933659,37.6513563146,99.9240797772,179.549093364,94.6654124181,53.7258683154,746.012608368,8.53329230658,252.573318703,767.586225728,673.128549113,158.850102477
Greece,GRC,2010,0.457334545934,19.905310324,308.633260595,659.740849333,0.521566726089,0.070132719917,0.0395849148219,1179.09406922,37.0769108816,100.692158186,178.917679576,111.816060884,58.0400159602,737.722336319,6.40545021812,261.199228437,772.799031904,671.581693945,155.174277175
Greece,GRC,2016,0.324637652663,17.7214832445,262.304688488,568.050324554,0.477729432655,0.0769947063029,0.0420657396331,1039.1985478,34.0331828013,89.0019603707,181.158420827,128.974698847,49.9495383082,637.760087539,4.19418342489,225.406836241,682.503540831,628.275146186,139.647268512
Greenland,GRL,1990,0.00554672618207,0.185932115522,9.15235838849,27.266170356,0.0138102516387,0.0114425176373,0.0124720560282,13.8052270246,0.233241624023,0.549463271156,2.78366755119,1.81015380019,3.33322009268,6.09642524987,0.2884048723,1.10725999328,4.34640868284,4.07261197879,1.64259544829
Greenland,GRL,1995,0.00417616643561,0.144864960573,6.81022209283,20.1778727372,0.0113116077048,0.0101896148559,0.0112865868557,10.9387902837,0.196783096221,0.425672790294,2.23795536853,1.4587282431,3.71335903981,4.90726324155,0.175978062885,0.8338919415,3.22266119687,3.10636549369,1.24533879046
Greenland,GRL,2000,0.00469620959304,0.180689396809,6.02700513531,19.4276346169,0.0110897308865,0.00993712558548,0.0129760083378,12.4617236114,0.226676479659,0.485148894896,2.44150455314,1.60342841521,2.97545270246,5.63863479153,0.168515871899,0.927588338882,3.58190712577,3.56614784567,1.37341959538
Greenland,GRL,2005,0.00484881426633,0.17893684302,6.01582634636,19.0870261514,0.0109706303777,0.00866967043556,0.0155265959312,11.9703534989,0.220765811329,0.461297502062,2.21351048101,1.41650864329,2.33294265496,5.45851782529,0.138007621212,0.733876872715,3.2810714657,3.46209146292,1.32652592872
Greenland,GRL,2006,0.00462508506313,0.163548676977,5.70748584772,17.8024400944,0.0103525150826,0.00827319077118,0.015185656008,10.8970848311,0.200772553281,0.41110283921,1.95851525208,1.24183157411,2.18027171705,4.90892575369,0.119943388789,0.621934469339,2.89931252346,3.10662855952,1.19908550458
Greenland,GRL,2010,0.00503620718497,0.162404292705,5.36846407927,16.3523144888,0.00992530847685,0.00816474060521,0.0151756468013,10.3633700279,0.193698181578,0.393949382343,1.66850691597,1.07838253728,1.74954263452,4.54205622562,0.093965302875,0.468134264188,2.6944647199,2.88999748039,1.12286098754
Greenland,GRL,2016,0.00373654773626,0.115937589549,4.63080320483,13.5243988671,0.00744054416849,0.00591254100545,0.010167706523,7.01417022759,0.143078095764,0.274149295389,1.07919038381,0.690612810576,1.13912976697,3.15176018342,0.0493252690061,0.205234780156,1.83853814923,1.93291922913,0.815100912188
Grenada,GRD,1990,0.0439920385312,0.0885047800679,1.35827391621,11.9894599535,0.483400878217,0.231199201204,0.190440974567,5.17205429411,0.844081134155,0.858449708782,3.99905571023,3.36820777552,2.21774448333,7.38773675193,3.5353304111,3.47347277759,4.98547155478,7.74049512361,5.51629536514
Grenada,GRD,1995,0.0365912564147,0.107122603386,1.64701346394,13.5503952927,0.462480543974,0.2254012729,0.179177742558,6.16451580085,0.970728223353,0.973084048256,4.38865850578,3.64811765237,4.90644685048,9.32907416127,2.06757887721,3.86229257139,5.5823681943,8.74670197647,6.67528638785
Grenada,GRD,2000,0.0238530540394,0.159162217152,2.06958574478,14.9796982032,0.411381844576,0.155006484093,0.116204594534,6.87681938232,0.99867101195,0.955523464929,4.24080813444,3.36729340983,7.76312626166,10.3738785125,1.24944212735,3.84429165837,5.29339233949,9.36147652491,7.91460065091
Grenada,GRD,2005,0.0185806184526,0.225951198814,2.49617375754,16.9687855198,0.401074729859,0.135278786132,0.0923730788872,8.21592365839,1.1006347013,1.08812748621,4.58922808052,3.60272675143,7.40842902868,13.0339170442,0.825689168196,3.91238607667,5.83700946993,10.9767453376,9.89801977232
Grenada,GRD,2006,0.0181919485764,0.224747536289,2.51478868093,16.837931106,0.394211563081,0.13496223116,0.0902250233814,8.28592545982,1.12070053687,1.08689811794,4.54865972709,3.56757953058,7.71787480491,13.3131323081,0.756725968921,3.80910536834,5.80823931687,11.090169636,10.1995970043
Grenada,GRD,2010,0.0186381639189,0.22727765255,2.61110535705,16.7065647082,0.379469296973,0.128480087388,0.0798673466257,8.17172127374,1.12860093868,1.09390761667,4.46906051091,3.54046209854,7.16886656521,13.8809599869,0.572502317319,3.47811485987,5.75311890032,11.5364804713,10.4827118628
