Entity,Code,Year,Discontinued breastfeeding (deaths),Non-exclusive breastfeeding (deaths),Child stunting (deaths),Low birth weight (deaths),Drug use (deaths),No access to handwashing facility (deaths),Secondhand smoke (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),High blood sugar (deaths),Child wasting (deaths),Iron deficiency (deaths)
Estonia,EST,2016,0.0153293206832,0.541601282236,0.142121176531,4.56651606435,0.0021006321283,0.0575056318227,0.754983319583,0.055366553,0.0829326606468,0.250459130977,0.155286234019,0.000552222087942,0.00303776486438,0.0252537761195,1.60991309061,0.00821077644772
Ethiopia,ETH,1990,461.063082593,9479.20512298,45223.8384446,29970.8254757,0.306080290469,22111.8226111,1330.00131114,21205.6003812,23710.9326079,27920.4045189,13076.1940184,14.6669257696,6.96079269019,18.1125176555,105363.974279,1.05207540964
Ethiopia,ETH,1995,613.84598034,11012.6695137,42990.6239645,30085.7690068,0.322242161277,28311.9344185,1141.59564087,29545.7453351,32990.6998968,30164.2745461,14006.5802739,15.5574206007,7.04489787846,18.3721146119,116579.035929,0.812686206699
Ethiopia,ETH,2000,548.528119548,9877.69621653,33903.0151062,28464.2637355,0.340353573568,27056.5848936,1126.81850207,27457.2666488,30587.963837,30788.8849553,14085.9782341,17.8186395031,6.28667212689,17.3703326858,108159.814568,0.839762457185
Ethiopia,ETH,2005,485.351959734,8556.798016,20292.5683947,26092.1612037,0.353889888631,24232.0249205,911.565286828,24434.6697347,27101.9184293,27686.5275752,11745.5599693,22.9480374828,5.64564839717,16.4265934622,87561.9787302,0.985340173648
Ethiopia,ETH,2006,473.498969685,8333.08345291,19654.0310629,25465.5657019,0.354110055711,23227.270837,849.38769565,23377.8472996,25902.637163,26578.3843093,11438.6331556,22.488636721,5.41728346377,16.1206500445,84924.1176058,1.04199863414
Ethiopia,ETH,2010,385.222058936,6668.4995647,14040.2809206,22344.1234742,0.336652397301,17672.6568318,651.138803992,17613.4680697,19485.3464557,20404.6175055,9308.37148536,19.3940605011,4.06763477901,13.394083614,65798.900925,1.42339769768
Ethiopia,ETH,2016,258.108889388,4067.66054573,7811.22257363,17228.5132514,0.303285417541,9781.25754292,344.743306779,10158.6145109,11148.0280723,10379.7600691,6058.75133601,12.349032308,1.87540268871,7.76022377661,36588.4099538,1.75691440463
Fiji,FJI,1990,0.535744367151,8.99639766313,7.83023612153,83.5057064927,0.00150389072563,4.92973661641,8.60547688713,7.61867020064,13.3478030679,23.0360340549,4.83453042038,0.183437714326,0.0249903152031,0.783972146432,89.9917372041,0.00600831086944
Fiji,FJI,1995,0.434252528222,7.85959331323,6.12826304203,82.9234961299,0.00154565912691,3.62912273976,7.51135628657,5.30702631549,10.0385799449,18.8402474013,4.67510317894,0.210252736553,0.0265017816937,0.897479952914,77.6743645815,0.0061141320473
Fiji,FJI,2000,0.457785554618,7.95172606598,4.29417773808,81.7036404571,0.0016834129023,3.43156469646,8.27052688801,4.7183082326,9.57979014736,17.3297718316,5.10766483531,0.307214844565,0.0352815072367,1.19872691856,64.9213345538,0.00811568743992
